"CustomerAge","Married","HouseholdSize","AccountAge","PaymentMethod","LastNewPhone","BasePlan","IntlPlan","Deal","CustServCall","NumVmail","NumText","NumApps","DayMin","DayCall","DayCharge","EveMin","EveCall","EveCharge","NightMin","NightCall","NightCharge","IntlMin","IntlCall","IntlCharge","DayData","EveData","NightData","Cancel"
47,"married",1,2,"Check",32,"standard","Yes","No",0,27,0,16,251.8,61,41.09,240.3,103,23.44,262.3,85,15.95,8.7,2,2.45,159.7,198,267,"No"
73,"single",5,2,"Credit",23,"standard","Yes","No",0,0,125,10,170.3,72,27.79,244.1,70,23.83,77,62,4.34,3.8,2,1.08,62.1,107,133,"No"
35,"single",2,3,"Credit",19,"standard","No","Yes",2,0,168,14,181.6,27,29.65,144.5,82,14.85,202.8,91,11.45,9.4,1,2.65,136.3,225,273,"Yes"
48,"divorced",5,3,"Automatic",30,"standard","No","No",1,0,0,14,221.4,62,36.13,256.3,77,26.16,191.3,79,11.94,8,6,2.24,25,48,259,"No"
36,"married",5,4,"Automatic",22,"economy","Yes","No",4,0,89,2,191.2,63,31.19,262.3,98,23.99,302.2,67,18.2,6.3,2,1.79,91.1,124,88,"No"
33,"divorced",1,4,"Automatic",25,"standard","Yes","Yes",2,32,103,6,162.4,75,26.51,228.8,114,26.46,109.3,69,7.38,12.4,6,3.47,125.8,187,210,"No"
28,"married",1,7,"Automatic",11,"deluxe","Yes","Yes",3,0,0,18,311.4,59,50.83,156.6,111,17.65,173,75,10.97,9.8,4,2.75,54,122,206,"No"
39,"divorced",2,8,"Check",26,"standard","Yes","No",1,0,160,8,252.5,75,41.2,265.4,66,26.03,189,61,11.81,10.6,2,2.98,87.1,159,314,"No"
55,"divorced",3,11,"Automatic",14,"economy","Yes","No",1,0,68,10,305.6,82,49.86,157.6,115,14.95,239.4,62,14.7,13.4,4,3.76,180.7,152,125,"No"
26,"married",5,11,"Automatic",2,"economy","Yes","Yes",1,35,0,8,294.4,69,48.05,175.2,105,20.86,200.7,89,12.47,10.5,2,2.95,52.4,96,130,"No"
53,"divorced",3,12,"Automatic",31,"economy","Yes","No",2,0,40,11,255.9,72,41.76,196.2,59,20.31,297.7,43,18,11.8,6,3.32,51.6,140,193,"No"
34,"married",4,12,"Check",17,"standard","Yes","No",2,0,148,2,251.7,66,41.06,224.2,71,21.55,218.2,56,13.46,9,6,2.54,28.2,141,264,"No"
59,"divorced",5,13,"Automatic",11,"standard","Yes","Yes",1,0,126,5,343.2,75,56,262.5,111,24.16,295,70,16.64,12.2,2,3.44,76.6,120,101,"Yes"
27,"married",1,14,"Automatic",6,"economy","Yes","No",1,28,0,12,364.8,60,59.53,154.3,89,18.57,273.9,89,15.41,13.4,1,3.76,52.4,219,312,"No"
69,"married",4,14,"Automatic",12,"standard","No","No",2,0,0,13,298,75,48.62,122,117,12.44,231.6,85,14.27,10.2,4,2.87,29.8,145,224,"No"
64,"divorced",2,15,"Automatic",11,"economy","Yes","Yes",0,0,0,4,416.9,85,68.03,176.6,79,21,239.6,62,13.51,12,2,3.36,112.9,59,146,"Yes"
41,"divorced",1,17,"Automatic",26,"standard","Yes","No",2,0,65,9,185.9,65,30.34,158.6,74,17.67,237.6,63,13.36,8.7,5,2.45,110.5,91,118,"No"
53,"married",5,18,"Automatic",20,"economy","No","No",0,0,20,9,151.3,58,24.68,152.4,69,18.52,201.6,55,11.32,6.6,6,1.87,58.9,46,116,"No"
40,"married",1,18,"Check",9,"standard","Yes","No",6,0,64,17,240.2,53,39.2,293.6,112,28.6,180.7,61,11.4,11,7,3.07,145.2,107,286,"No"
41,"divorced",5,19,"Automatic",9,"economy","Yes","Yes",0,0,0,15,282.7,44,46.14,174.7,85,15.31,232.7,49,14.27,11.4,2,3.18,170.2,199,112,"No"
31,"married",1,19,"Automatic",31,"deluxe","Yes","No",2,0,126,7,199.1,54,32.5,169.9,131,17.61,243.8,57,14.95,8.6,4,2.39,50,63,82,"No"
54,"married",2,19,"Credit",18,"economy","Yes","Yes",0,0,119,16,315.7,50,51.52,215.5,98,21.97,175.8,69,9.88,11.2,2,3.16,165.4,200,90,"Yes"
35,"divorced",1,20,"Check",20,"economy","Yes","Yes",7,28,118,20,210.5,74,34.36,194.2,54,18.45,237.1,78,14.52,10.4,1,2.92,169.4,184,164,"Yes"
39,"divorced",5,21,"Check",25,"standard","No","No",0,0,0,21,326.8,62,53.34,213.8,111,22.12,191.7,72,10.82,4.7,4,1.32,144.4,135,206,"No"
41,"single",4,22,"Automatic",33,"standard","Yes","Yes",1,0,276,15,356.7,74,58.21,279.7,100,26.01,184.5,100,11.62,9.9,2,2.77,17.7,89,299,"Yes"
38,"divorced",2,23,"Automatic",25,"standard","Yes","Yes",6,0,169,6,127.4,61,20.77,170,64,18.68,301,59,18.13,11.8,2,3.3,101.6,59,198,"Yes"
48,"married",3,24,"Automatic",28,"standard","Yes","Yes",2,0,178,21,126.4,70,20.62,204.7,102,21.17,181.7,95,11.4,13.5,6,3.79,68.6,55,314,"No"
50,"divorced",4,24,"Automatic",23,"standard","Yes","Yes",0,0,106,18,151.7,69,24.76,174.8,86,20.58,213.9,74,13.21,9.9,5,2.77,180.7,95,177,"No"
58,"divorced",1,24,"Automatic",7,"economy","Yes","Yes",1,0,0,11,336.5,52,54.91,176.3,106,15.15,296.4,67,17.93,6.9,1,1.92,117.8,173,194,"No"
